dataset,n,d,n_classes,method,k_selected,selected_features,trustworthiness,knn_overlap,cluster_ari,wass_persist,importance_time_sec
seeds,210,7,3,variance,6,0|1|2|3|4|6,0.939260619414861,0.5019047619047619,0.7841366002253801,54.09171905747773,1.7874999997502528e-05
seeds,210,7,3,variance,7,0|1|2|3|4|5|6,1.0,1.0,1.0,0.0,1.7874999997502528e-05
glass,214,9,6,pai,1,3,0.6611925892794086,0.15467289719626173,0.19217215561151058,95.13821055978077,5.837253250000003
glass,214,9,6,pai,2,3|7,0.7029308599543304,0.19485981308411224,0.22807861522448372,87.52358118361164,5.837253250000003
glass,214,9,6,pai,3,3|7|8,0.8040066856564421,0.3177570093457944,0.5384254265942875,75.14264607224368,5.837253250000003
glass,214,9,6,pai,4,1|3|7|8,0.8823583417688741,0.4719626168224299,0.677134330630065,55.66038166929477,5.837253250000003
glass,214,9,6,pai,5,1|2|3|7|8,0.9326090538854492,0.5551401869158878,0.6596560608784229,38.54399477974467,5.837253250000003
glass,214,9,6,pai,6,1|2|3|6|7|8,0.9599802255231997,0.6228971962616823,0.6164289238869637,28.777351206745596,5.837253250000003
glass,214,9,6,pai,7,0|1|2|3|6|7|8,0.9841050872195674,0.7415887850467289,0.7781577957591164,14.087717922495745,5.837253250000003
glass,214,9,6,pai,8,0|1|2|3|5|6|7|8,0.9890463523152616,0.7682242990654204,0.8091295797909945,12.248339207864625,5.837253250000003
glass,214,9,6,pai,9,0|1|2|3|4|5|6|7|8,1.0,1.0,1.0,4.2146848510894035e-08,5.837253250000003
glass,214,9,6,nrs,1,3,0.6611925892794086,0.15467289719626173,0.19217215561151058,95.13821055978077,0.008377667000004863
glass,214,9,6,nrs,2,0|3,0.7940394077073377,0.26588785046728974,0.3303416320525383,82.92528738062445,0.008377667000004863
glass,214,9,6,nrs,3,0|3|6,0.8374043645095224,0.3261682242990654,0.27102676765188466,64.38862864279793,0.008377667000004863
glass,214,9,6,nrs,4,0|3|4|6,0.8743167212034182,0.4079439252336449,0.4073358621335581,43.06997371202247,0.008377667000004863
glass,214,9,6,nrs,5,0|3|4|6|8,0.9549377339391228,0.6612149532710281,0.7054027211948009,26.44403009943687,0.008377667000004863
glass,214,9,6,nrs,6,0|2|3|4|6|8,0.968746910238,0.6967289719626168,0.7424132219817199,21.4970546068628,0.008377667000004863
glass,214,9,6,nrs,7,0|2|3|4|5|6|8,0.9791190941406342,0.7355140186915887,0.7392964447586057,17.50843634618105,0.008377667000004863
glass,214,9,6,nrs,8,0|2|3|4|5|6|7|8,0.9831610913627911,0.7630841121495328,0.8660097308968863,15.237935213401354,0.008377667000004863
glass,214,9,6,nrs,9,0|1|2|3|4|5|6|7|8,1.0,1.0,1.0,4.2146848510894035e-08,0.008377667000004863
glass,214,9,6,relieff,1,2,0.6453306339603098,0.11588785046728971,0.30280534756461736,94.87335096098778,0.0674364159999925
glass,214,9,6,relieff,2,2|3,0.742884719508463,0.2285046728971963,0.2511573392299106,89.70030065401843,0.0674364159999925
glass,214,9,6,relieff,3,2|3|6,0.8203630028955484,0.31214953271028045,0.408484920150043,71.74870498305515,0.0674364159999925
glass,214,9,6,relieff,4,1|2|3|6,0.8746651286518045,0.4060747663551402,0.46192254551921313,51.777582638975154,0.0674364159999925
glass,214,9,6,relieff,5,1|2|3|6|7,0.8842322088561407,0.4322429906542056,0.4799553777922891,47.6338050724093,0.0674364159999925
glass,214,9,6,relieff,6,0|1|2|3|6|7,0.9027189905600415,0.48411214953271026,0.4891219105983556,34.228313258990696,0.0674364159999925
glass,214,9,6,relieff,7,0|1|2|3|4|6|7,0.9128322229807669,0.5649532710280374,0.5266297983172837,27.189640909722694,0.0674364159999925
glass,214,9,6,relieff,8,0|1|2|3|4|6|7|8,0.9949316132677323,0.9294392523364488,0.8088019822831206,5.432381430748957,0.0674364159999925
glass,214,9,6,relieff,9,0|1|2|3|4|5|6|7|8,1.0,1.0,1.0,4.2146848510894035e-08,0.0674364159999925
glass,214,9,6,mutual_info,1,2,0.6453306339603098,0.11588785046728971,0.30280534756461736,94.87335096098778,0.012416125000001443
glass,214,9,6,mutual_info,2,2|3,0.742884719508463,0.2285046728971963,0.2511573392299106,89.70030065401843,0.012416125000001443
glass,214,9,6,mutual_info,3,0|2|3,0.8306151274747522,0.31261682242990657,0.2965486235463265,69.67420350788127,0.012416125000001443
glass,214,9,6,mutual_info,4,0|2|3|5,0.8469902775489065,0.33831775700934574,0.455034663432638,62.365943741917896,0.012416125000001443
glass,214,9,6,mutual_info,5,0|1|2|3|5,0.8898255608653688,0.4532710280373832,0.5079756785293844,41.47785009897574,0.012416125000001443
