dataset,n,d,method,k_selected,knn_K,knn_overlap,trustworthiness,k_pai_scale
iris,150,4,mutual_info,4,10,1.0,0.999995043370508,60.693333333333335
iris,150,4,mutual_info,4,20,1.0,1.0,60.693333333333335
iris,150,4,mutual_info,4,30,1.0,1.0,60.693333333333335
iris,150,4,mutual_info,4,50,1.0,0.9999982102908277,60.693333333333335
iris,150,4,variance,1,3,0.10444444444444442,0.8519080459770115,60.693333333333335
iris,150,4,variance,1,5,0.15466666666666665,0.8512676056338029,60.693333333333335
iris,150,4,variance,1,10,0.2633333333333333,0.8697397769516728,60.693333333333335
iris,150,4,variance,1,20,0.45866666666666667,0.9025606694560669,60.693333333333335
iris,150,4,variance,1,30,0.5953333333333334,0.9244997341839447,60.693333333333335
iris,150,4,variance,1,50,0.7815999999999999,0.9519624161073825,60.693333333333335
iris,150,4,variance,2,3,0.1288888888888889,0.8671877394636015,60.693333333333335
iris,150,4,variance,2,5,0.176,0.873981220657277,60.693333333333335
iris,150,4,variance,2,10,0.308,0.8902403965303594,60.693333333333335
iris,150,4,variance,2,20,0.501,0.9149651324965132,60.693333333333335
iris,150,4,variance,2,30,0.611111111111111,0.9294056353003721,60.693333333333335
iris,150,4,variance,2,50,0.7825333333333335,0.9504089485458613,60.693333333333335
iris,150,4,variance,3,3,0.27999999999999997,0.9305287356321839,60.693333333333335
iris,150,4,variance,3,5,0.36666666666666664,0.9286009389671361,60.693333333333335
iris,150,4,variance,3,10,0.5,0.9357967781908303,60.693333333333335
iris,150,4,variance,3,20,0.6573333333333333,0.9508005578800558,60.693333333333335
iris,150,4,variance,3,30,0.7424444444444445,0.9588771929824561,60.693333333333335
iris,150,4,variance,3,50,0.8496,0.963896196868009,60.693333333333335
iris,150,4,variance,4,3,1.0,0.9999693486590038,60.693333333333335
iris,150,4,variance,4,5,1.0,0.999981220657277,60.693333333333335
iris,150,4,variance,4,10,1.0,0.999995043370508,60.693333333333335
iris,150,4,variance,4,20,1.0,1.0,60.693333333333335
iris,150,4,variance,4,30,1.0,1.0,60.693333333333335
iris,150,4,variance,4,50,1.0,0.9999982102908277,60.693333333333335
wine,178,13,pai,1,3,0.056179775280898875,0.6369747353380528,2.449438202247191
wine,178,13,pai,1,5,0.07528089887640449,0.6361335095836087,2.449438202247191
wine,178,13,pai,1,10,0.12134831460674159,0.6489369057908383,2.449438202247191
wine,178,13,pai,1,20,0.225561797752809,0.6676975814130641,2.449438202247191
wine,178,13,pai,1,30,0.30786516853932583,0.6829015617270864,2.449438202247191
wine,178,13,pai,1,50,0.44617977528089897,0.6945639901342833,2.449438202247191
wine,178,13,pai,2,3,0.06367041198501872,0.6867571604858089,2.449438202247191
wine,178,13,pai,2,5,0.10674157303370786,0.6909781890284203,2.449438202247191
wine,178,13,pai,2,10,0.19438202247191008,0.7076577355229041,2.449438202247191
wine,178,13,pai,2,20,0.2834269662921349,0.7051799657208151,2.449438202247191
wine,178,13,pai,2,30,0.349625468164794,0.7097109744894354,2.449438202247191
wine,178,13,pai,2,50,0.4528089887640449,0.7134195670046588,2.449438202247191
wine,178,13,pai,3,3,0.12734082397003743,0.7824900954731442,2.449438202247191
wine,178,13,pai,3,5,0.16853932584269662,0.7803106411103767,2.449438202247191
wine,178,13,pai,3,10,0.252247191011236,0.7888815903197925,2.449438202247191
wine,178,13,pai,3,20,0.3612359550561798,0.7949952390020949,2.449438202247191
