dataset,n,d,seed,fold,method,k_selected,selected_features,acc_3nn,acc_svm_rbf,time_reduct_sec,time_eval_sec
wdbc,569,30,2,1,nrs,27,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|19|20|21|22|23|24|25|26|27|28|29,0.9649122807017544,0.9824561403508771,0.047144375000016225,0.0035461669999676815
wdbc,569,30,2,1,nrs,28,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|18|19|20|21|22|23|24|25|26|27|28|29,0.9649122807017544,0.9824561403508771,0.047144375000016225,0.003635250000002088
wdbc,569,30,2,1,nrs,29,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|17|18|19|20|21|22|23|24|25|26|27|28|29,0.9649122807017544,0.9824561403508771,0.047144375000016225,0.003646583999966424
wdbc,569,30,2,1,nrs,30,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29,0.956140350877193,0.9824561403508771,0.047144375000016225,0.0037286660000290794
wdbc,569,30,2,1,relieff,1,20,0.8596491228070176,0.9035087719298246,0.16452108300006785,0.0028426669999817022
wdbc,569,30,2,1,relieff,2,20|27,0.9298245614035088,0.9298245614035088,0.16452108300006785,0.002624582999942504
wdbc,569,30,2,1,relieff,3,20|22|27,0.9035087719298246,0.9385964912280702,0.16452108300006785,0.00270237500001258
wdbc,569,30,2,1,relieff,4,0|20|22|27,0.8947368421052632,0.9385964912280702,0.16452108300006785,0.0027645830000437854
wdbc,569,30,2,1,relieff,5,0|2|20|22|27,0.9210526315789473,0.9385964912280702,0.16452108300006785,0.0028024169999980586
wdbc,569,30,2,1,relieff,6,0|2|7|20|22|27,0.9473684210526315,0.9385964912280702,0.16452108300006785,0.002900958999930481
wdbc,569,30,2,1,relieff,7,0|2|7|20|22|23|27,0.9473684210526315,0.9385964912280702,0.16452108300006785,0.002872959000001174
wdbc,569,30,2,1,relieff,8,0|2|7|20|21|22|23|27,0.9736842105263158,0.9736842105263158,0.16452108300006785,0.0028169160000288684
wdbc,569,30,2,1,relieff,9,0|2|3|7|20|21|22|23|27,0.9649122807017544,0.9736842105263158,0.16452108300006785,0.0028572080000230926
wdbc,569,30,2,1,relieff,10,0|2|3|6|7|20|21|22|23|27,0.9649122807017544,0.9736842105263158,0.16452108300006785,0.0029705829999784328
wdbc,569,30,2,1,relieff,11,0|2|3|6|7|20|21|22|23|26|27,0.9649122807017544,0.9736842105263158,0.16452108300006785,0.00301949999993667
wdbc,569,30,2,1,relieff,12,0|1|2|3|6|7|20|21|22|23|26|27,0.9649122807017544,0.9736842105263158,0.16452108300006785,0.0030877080000664137
wdbc,569,30,2,1,relieff,13,0|1|2|3|6|7|20|21|22|23|24|26|27,0.9649122807017544,0.9824561403508771,0.16452108300006785,0.0031637499999987995
wdbc,569,30,2,1,relieff,14,0|1|2|3|6|7|10|20|21|22|23|24|26|27,0.9649122807017544,0.9736842105263158,0.16452108300006785,0.0032065000000329746
wdbc,569,30,2,1,relieff,15,0|1|2|3|6|7|10|20|21|22|23|24|25|26|27,0.9649122807017544,0.9736842105263158,0.16452108300006785,0.003311499999995249
wdbc,569,30,2,1,relieff,16,0|1|2|3|5|6|7|10|20|21|22|23|24|25|26|27,0.9473684210526315,0.9736842105263158,0.16452108300006785,0.0029921249999915744
wdbc,569,30,2,1,relieff,17,0|1|2|3|5|6|7|10|13|20|21|22|23|24|25|26|27,0.956140350877193,0.9824561403508771,0.16452108300006785,0.0030109580000043934
wdbc,569,30,2,1,relieff,18,0|1|2|3|5|6|7|9|10|13|20|21|22|23|24|25|26|27,0.956140350877193,0.9824561403508771,0.16452108300006785,0.00309620799998811
wdbc,569,30,2,1,relieff,19,0|1|2|3|5|6|7|9|10|12|13|20|21|22|23|24|25|26|27,0.9649122807017544,0.9824561403508771,0.16452108300006785,0.003088333000050625
wdbc,569,30,2,1,relieff,20,0|1|2|3|5|6|7|9|10|12|13|14|20|21|22|23|24|25|26|27,0.9649122807017544,0.9824561403508771,0.16452108300006785,0.003168332999962331
wdbc,569,30,2,1,relieff,21,0|1|2|3|4|5|6|7|9|10|12|13|14|20|21|22|23|24|25|26|27,0.9736842105263158,0.9824561403508771,0.16452108300006785,0.0032754580000755595
wdbc,569,30,2,1,relieff,22,0|1|2|3|4|5|6|7|9|10|12|13|14|20|21|22|23|24|25|26|27|28,0.956140350877193,0.9824561403508771,0.16452108300006785,0.003269665999937388
wdbc,569,30,2,1,relieff,23,0|1|2|3|4|5|6|7|9|10|11|12|13|14|20|21|22|23|24|25|26|27|28,0.9649122807017544,0.9824561403508771,0.16452108300006785,0.0033668329999727575
wdbc,569,30,2,1,relieff,24,0|1|2|3|4|5|6|7|9|10|11|12|13|14|18|20|21|22|23|24|25|26|27|28,0.9649122807017544,0.9824561403508771,0.16452108300006785,0.003372541000089768
wdbc,569,30,2,1,relieff,25,0|1|2|3|4|5|6|7|9|10|11|12|13|14|17|18|20|21|22|23|24|25|26|27|28,0.9649122807017544,0.9824561403508771,0.16452108300006785,0.0034302919999618098
wdbc,569,30,2,1,relieff,26,0|1|2|3|4|5|6|7|9|10|11|12|13|14|17|18|20|21|22|23|24|25|26|27|28|29,0.9649122807017544,0.9824561403508771,0.16452108300006785,0.0035554170000295926
wdbc,569,30,2,1,relieff,27,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|18|20|21|22|23|24|25|26|27|28|29,0.9649122807017544,0.9824561403508771,0.16452108300006785,0.003611167000030946
wdbc,569,30,2,1,relieff,28,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|17|18|20|21|22|23|24|25|26|27|28|29,0.9649122807017544,0.9824561403508771,0.16452108300006785,0.003647666000006211
wdbc,569,30,2,1,relieff,29,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|17|18|19|20|21|22|23|24|25|26|27|28|29,0.9649122807017544,0.9824561403508771,0.16452108300006785,0.003675458999964576
wdbc,569,30,2,1,relieff,30,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29,0.956140350877193,0.9824561403508771,0.16452108300006785,0.003834292000078676
wdbc,569,30,2,1,mutual_info,1,22,0.8947368421052632,0.8947368421052632,0.02320137499998509,0.00277920799999265
wdbc,569,30,2,1,mutual_info,2,22|23,0.8596491228070176,0.9035087719298246,0.02320137499998509,0.0028493749999825013
wdbc,569,30,2,1,mutual_info,3,20|22|23,0.868421052631579,0.9035087719298246,0.02320137499998509,0.002887708000002931
wdbc,569,30,2,1,mutual_info,4,20|22|23|27,0.9122807017543859,0.9385964912280702,0.02320137499998509,0.0027312080000001515
wdbc,569,30,2,1,mutual_info,5,7|20|22|23|27,0.9122807017543859,0.9473684210526315,0.02320137499998509,0.0028034580000166898
wdbc,569,30,2,1,mutual_info,6,2|7|20|22|23|27,0.9385964912280702,0.9385964912280702,0.02320137499998509,0.0028121249999912834
wdbc,569,30,2,1,mutual_info,7,0|2|7|20|22|23|27,0.9473684210526315,0.9385964912280702,0.02320137499998509,0.0028399579999813795
wdbc,569,30,2,1,mutual_info,8,0|2|6|7|20|22|23|27,0.9298245614035088,0.9385964912280702,0.02320137499998509,0.002903416000094694
wdbc,569,30,2,1,mutual_info,9,0|2|3|6|7|20|22|23|27,0.9298245614035088,0.9385964912280702,0.02320137499998509,0.0029306249999763168
wdbc,569,30,2,1,mutual_info,10,0|2|3|6|7|13|20|22|23|27,0.9473684210526315,0.9385964912280702,0.02320137499998509,0.0030308340000146927
wdbc,569,30,2,1,mutual_info,11,0|2|3|6|7|13|20|22|23|26|27,0.9298245614035088,0.9385964912280702,0.02320137499998509,0.0030475830000114
wdbc,569,30,2,1,mutual_info,12,0|2|3|6|7|12|13|20|22|23|26|27,0.9298245614035088,0.9385964912280702,0.02320137499998509,0.0031610830000090573
wdbc,569,30,2,1,mutual_info,13,0|2|3|6|7|10|12|13|20|22|23|26|27,0.9298245614035088,0.9473684210526315,0.02320137499998509,0.0031120419999979276
wdbc,569,30,2,1,mutual_info,14,0|2|3|5|6|7|10|12|13|20|22|23|26|27,0.9122807017543859,0.9473684210526315,0.02320137499998509,0.0032509170000594168
wdbc,569,30,2,1,mutual_info,15,0|2|3|5|6|7|10|12|13|20|22|23|25|26|27,0.9298245614035088,0.956140350877193,0.02320137499998509,0.003342000000088774
wdbc,569,30,2,1,mutual_info,16,0|2|3|5|6|7|10|12|13|17|20|22|23|25|26|27,0.9210526315789473,0.956140350877193,0.02320137499998509,0.0030806249999386637
wdbc,569,30,2,1,mutual_info,17,0|2|3|5|6|7|10|12|13|16|17|20|22|23|25|26|27,0.9035087719298246,0.956140350877193,0.02320137499998509,0.0031065829999761263
wdbc,569,30,2,1,mutual_info,18,0|2|3|5|6|7|10|12|13|16|17|20|21|22|23|25|26|27,0.9385964912280702,0.9824561403508771,0.02320137499998509,0.0031147910000299817
wdbc,569,30,2,1,mutual_info,19,0|2|3|5|6|7|10|12|13|16|17|20|21|22|23|25|26|27|28,0.9385964912280702,0.9736842105263158,0.02320137499998509,0.0031565000000455257
wdbc,569,30,2,1,mutual_info,20,0|1|2|3|5|6|7|10|12|13|16|17|20|21|22|23|25|26|27|28,0.9473684210526315,0.9736842105263158,0.02320137499998509,0.003209917000049245
wdbc,569,30,2,1,mutual_info,21,0|1|2|3|5|6|7|10|12|13|16|17|20|21|22|23|24|25|26|27|28,0.9736842105263158,0.9824561403508771,0.02320137499998509,0.0032224159999714175
wdbc,569,30,2,1,mutual_info,22,0|1|2|3|4|5|6|7|10|12|13|16|17|20|21|22|23|24|25|26|27|28,0.9736842105263158,0.9824561403508771,0.02320137499998509,0.0033376669999825026
wdbc,569,30,2,1,mutual_info,23,0|1|2|3|4|5|6|7|10|12|13|15|16|17|20|21|22|23|24|25|26|27|28,0.9473684210526315,0.9824561403508771,0.02320137499998509,0.0033065000000078726
wdbc,569,30,2,1,mutual_info,24,0|1|2|3|4|5|6|7|8|10|12|13|15|16|17|20|21|22|23|24|25|26|27|28,0.9385964912280702,0.9736842105263158,0.02320137499998509,0.0033779589999767268
wdbc,569,30,2,1,mutual_info,25,0|1|2|3|4|5|6|7|8|10|12|13|15|16|17|18|20|21|22|23|24|25|26|27|28,0.9473684210526315,0.9824561403508771,0.02320137499998509,0.0034401660000185075
wdbc,569,30,2,1,mutual_info,26,0|1|2|3|4|5|6|7|8|10|12|13|15|16|17|18|20|21|22|23|24|25|26|27|28|29,0.9473684210526315,0.9824561403508771,0.02320137499998509,0.0034775839999383606
wdbc,569,30,2,1,mutual_info,27,0|1|2|3|4|5|6|7|8|10|12|13|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29,0.956140350877193,0.9824561403508771,0.02320137499998509,0.0035852080000040587
wdbc,569,30,2,1,mutual_info,28,0|1|2|3|4|5|6|7|8|10|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29,0.9385964912280702,0.9824561403508771,0.02320137499998509,0.003697624999972504
wdbc,569,30,2,1,mutual_info,29,0|1|2|3|4|5|6|7|8|9|10|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29,0.9385964912280702,0.9824561403508771,0.02320137499998509,0.0036837920000607483
wdbc,569,30,2,1,mutual_info,30,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29,0.956140350877193,0.9824561403508771,0.02320137499998509,0.0037151249999851643
wdbc,569,30,2,1,variance,1,13,0.7982456140350878,0.8245614035087719,2.6583000021673797e-05,0.003228750000062064
wdbc,569,30,2,1,variance,2,12|13,0.8333333333333334,0.8245614035087719,2.6583000021673797e-05,0.0033330830000295464
wdbc,569,30,2,1,variance,3,12|13|19,0.8333333333333334,0.8245614035087719,2.6583000021673797e-05,0.003574167000010675
wdbc,569,30,2,1,variance,4,10|12|13|19,0.868421052631579,0.8245614035087719,2.6583000021673797e-05,0.003648541999950794
wdbc,569,30,2,1,variance,5,10|12|13|16|19,0.8421052631578947,0.8157894736842105,2.6583000021673797e-05,0.0036725830000250426
wdbc,569,30,2,1,variance,6,10|12|13|16|19|23,0.8859649122807017,0.9035087719298246,2.6583000021673797e-05,0.003297000000088701
wdbc,569,30,2,1,variance,7,3|10|12|13|16|19|23,0.8771929824561403,0.8771929824561403,2.6583000021673797e-05,0.0033256670000127997
wdbc,569,30,2,1,variance,8,3|9|10|12|13|16|19|23,0.8947368421052632,0.9122807017543859,2.6583000021673797e-05,0.003356832999998005
wdbc,569,30,2,1,variance,9,3|9|10|12|13|16|19|22|23,0.9298245614035088,0.9210526315789473,2.6583000021673797e-05,0.0032692909999241238
wdbc,569,30,2,1,variance,10,3|9|10|11|12|13|16|19|22|23,0.9035087719298246,0.9210526315789473,2.6583000021673797e-05,0.0034959170000092854
wdbc,569,30,2,1,variance,11,3|5|9|10|11|12|13|16|19|22|23,0.9122807017543859,0.9298245614035088,2.6583000021673797e-05,0.0034587920000603845
wdbc,569,30,2,1,variance,12,2|3|5|9|10|11|12|13|16|19|22|23,0.9210526315789473,0.9298245614035088,2.6583000021673797e-05,0.0034866250000504806
wdbc,569,30,2,1,variance,13,1|2|3|5|9|10|11|12|13|16|19|22|23,0.9122807017543859,0.9298245614035088,2.6583000021673797e-05,0.003500874999986081
wdbc,569,30,2,1,variance,14,0|1|2|3|5|9|10|11|12|13|16|19|22|23,0.9210526315789473,0.9298245614035088,2.6583000021673797e-05,0.0035551669999449587
wdbc,569,30,2,1,variance,15,0|1|2|3|5|9|10|11|12|13|16|18|19|22|23,0.9298245614035088,0.9298245614035088,2.6583000021673797e-05,0.0036367499999414576
wdbc,569,30,2,1,variance,16,0|1|2|3|5|9|10|11|12|13|16|18|19|20|22|23,0.9298245614035088,0.9298245614035088,2.6583000021673797e-05,0.003312250000021777
wdbc,569,30,2,1,variance,17,0|1|2|3|5|6|9|10|11|12|13|16|18|19|20|22|23,0.9473684210526315,0.956140350877193,2.6583000021673797e-05,0.003324749999933374
wdbc,569,30,2,1,variance,18,0|1|2|3|5|6|7|9|10|11|12|13|16|18|19|20|22|23,0.9385964912280702,0.9473684210526315,2.6583000021673797e-05,0.003279750000046988
wdbc,569,30,2,1,variance,19,0|1|2|3|5|6|7|9|10|11|12|13|15|16|18|19|20|22|23,0.9210526315789473,0.9298245614035088,2.6583000021673797e-05,0.003313791999971727
wdbc,569,30,2,1,variance,20,0|1|2|3|5|6|7|8|9|10|11|12|13|15|16|18|19|20|22|23,0.9210526315789473,0.9385964912280702,2.6583000021673797e-05,0.0033939999999574866
wdbc,569,30,2,1,variance,21,0|1|2|3|5|6|7|8|9|10|11|12|13|15|16|18|19|20|21|22|23,0.9385964912280702,0.956140350877193,2.6583000021673797e-05,0.0034166670000104205
wdbc,569,30,2,1,variance,22,0|1|2|3|5|6|7|8|9|10|11|12|13|15|16|18|19|20|21|22|23|26,0.956140350877193,0.9736842105263158,2.6583000021673797e-05,0.003288957999984632
wdbc,569,30,2,1,variance,23,0|1|2|3|5|6|7|8|9|10|11|12|13|15|16|18|19|20|21|22|23|26|27,0.9473684210526315,0.9736842105263158,2.6583000021673797e-05,0.003376457999934246
wdbc,569,30,2,1,variance,24,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|18|19|20|21|22|23|26|27,0.9649122807017544,0.9736842105263158,2.6583000021673797e-05,0.003383333999977367
wdbc,569,30,2,1,variance,25,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|18|19|20|21|22|23|25|26|27,0.956140350877193,0.9736842105263158,2.6583000021673797e-05,0.0033930409999811673
wdbc,569,30,2,1,variance,26,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|18|19|20|21|22|23|25|26|27|28,0.956140350877193,0.9736842105263158,2.6583000021673797e-05,0.0035197500000094806
wdbc,569,30,2,1,variance,27,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20|21|22|23|25|26|27|28,0.956140350877193,0.9736842105263158,2.6583000021673797e-05,0.003573916999926041
wdbc,569,30,2,1,variance,28,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20|21|22|23|25|26|27|28|29,0.9385964912280702,0.9824561403508771,2.6583000021673797e-05,0.0036416250000002037
wdbc,569,30,2,1,variance,29,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29,0.956140350877193,0.9824561403508771,2.6583000021673797e-05,0.0036766249999118372
wdbc,569,30,2,1,variance,30,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29,0.956140350877193,0.9824561403508771,2.6583000021673797e-05,0.003701249999949141
wdbc,569,30,2,1,pai_nrs,1,1,0.6491228070175439,0.7456140350877193,24.23189866700011,0.004360666999900786
wdbc,569,30,2,1,pai_nrs,2,1|10,0.8070175438596491,0.8333333333333334,24.23189866700011,0.003651209000054223
wdbc,569,30,2,1,pai_nrs,3,1|4|10,0.8596491228070176,0.9035087719298246,24.23189866700011,0.0036597920000076556
wdbc,569,30,2,1,pai_nrs,4,1|4|10|22,0.9473684210526315,0.9736842105263158,24.23189866700011,0.0030555409999806216
wdbc,569,30,2,1,pai_nrs,5,1|4|10|22|24,0.9824561403508771,0.9912280701754386,24.23189866700011,0.0031199579999565685
wdbc,569,30,2,1,pai_nrs,6,1|4|10|22|24|28,0.9649122807017544,0.9824561403508771,24.23189866700011,0.0032012499999609645
wdbc,569,30,2,1,pai_nrs,7,1|4|10|22|24|26|28,0.9649122807017544,0.9736842105263158,24.23189866700011,0.0031765410000161864
wdbc,569,30,2,1,pai_nrs,8,1|4|8|10|22|24|26|28,0.9649122807017544,0.9649122807017544,24.23189866700011,0.003319624999903681
wdbc,569,30,2,1,pai_nrs,9,1|4|8|10|12|22|24|26|28,0.9649122807017544,0.9824561403508771,24.23189866700011,0.0033835420000514205
wdbc,569,30,2,1,pai_nrs,10,1|4|8|10|12|14|22|24|26|28,0.9473684210526315,0.9824561403508771,24.23189866700011,0.0034734590000198295
wdbc,569,30,2,1,pai_nrs,11,1|4|8|10|12|14|19|22|24|26|28,0.956140350877193,0.9824561403508771,24.23189866700011,0.0034074159999590847
wdbc,569,30,2,1,pai_nrs,12,1|4|8|10|12|14|17|19|22|24|26|28,0.9298245614035088,0.9824561403508771,24.23189866700011,0.003626124999982494
wdbc,569,30,2,1,pai_nrs,13,1|4|8|10|12|14|17|19|22|23|24|26|28,0.956140350877193,0.9824561403508771,24.23189866700011,0.003540332999932616
