dataset,n,d,n_resample,seed,method,attribute_j,importance_score,pai_bound,n_pts_dgm_H0,n_pts_dgm_H1,thresh,maxdim,time_method_sec
wine,178,13,142,0,nrs,8,0.021126760563380254,-1.0,-1,-1,2.0,1,0.008927332999999926
wine,178,13,142,0,nrs,9,0.021126760563380254,-1.0,-1,-1,2.0,1,0.008927332999999926
wine,178,13,142,0,nrs,10,-0.028169014084507005,-1.0,-1,-1,2.0,1,0.008927332999999926
wine,178,13,142,0,nrs,11,0.014084507042253502,-1.0,-1,-1,2.0,1,0.008927332999999926
wine,178,13,142,0,nrs,12,0.11971830985915488,-1.0,-1,-1,2.0,1,0.008927332999999926
wine,178,13,142,0,relieff,0,0.11776212832550872,-1.0,-1,-1,2.0,1,0.039849000000000245
wine,178,13,142,0,relieff,1,0.08013694817124087,-1.0,-1,-1,2.0,1,0.039849000000000245
wine,178,13,142,0,relieff,2,0.030134819612864343,-1.0,-1,-1,2.0,1,0.039849000000000245
wine,178,13,142,0,relieff,3,0.0525827646290112,-1.0,-1,-1,2.0,1,0.039849000000000245
wine,178,13,142,0,relieff,4,0.03690293937538272,-1.0,-1,-1,2.0,1,0.039849000000000245
wine,178,13,142,0,relieff,5,0.11824429334628465,-1.0,-1,-1,2.0,1,0.039849000000000245
wine,178,13,142,0,relieff,6,0.18599572116241753,-1.0,-1,-1,2.0,1,0.039849000000000245
wine,178,13,142,0,relieff,7,0.07806271591815041,-1.0,-1,-1,2.0,1,0.039849000000000245
wine,178,13,142,0,relieff,8,0.06406451326254056,-1.0,-1,-1,2.0,1,0.039849000000000245
wine,178,13,142,0,relieff,9,0.10136608917584004,-1.0,-1,-1,2.0,1,0.039849000000000245
wine,178,13,142,0,relieff,10,0.1351604472193989,-1.0,-1,-1,2.0,1,0.039849000000000245
wine,178,13,142,0,relieff,11,0.20201465201465207,-1.0,-1,-1,2.0,1,0.039849000000000245
wine,178,13,142,0,relieff,12,0.1679336360531234,-1.0,-1,-1,2.0,1,0.039849000000000245
wine,178,13,142,0,mutual_info,0,0.4818375236505341,-1.0,-1,-1,2.0,1,0.009589250000000327
wine,178,13,142,0,mutual_info,1,0.2860341116395122,-1.0,-1,-1,2.0,1,0.009589250000000327
wine,178,13,142,0,mutual_info,2,0.05855441599915823,-1.0,-1,-1,2.0,1,0.009589250000000327
wine,178,13,142,0,mutual_info,3,0.22273057304655475,-1.0,-1,-1,2.0,1,0.009589250000000327
wine,178,13,142,0,mutual_info,4,0.1731167646473828,-1.0,-1,-1,2.0,1,0.009589250000000327
wine,178,13,142,0,mutual_info,5,0.3848597665482447,-1.0,-1,-1,2.0,1,0.009589250000000327
wine,178,13,142,0,mutual_info,6,0.6646315738419042,-1.0,-1,-1,2.0,1,0.009589250000000327
wine,178,13,142,0,mutual_info,7,0.1473139385693023,-1.0,-1,-1,2.0,1,0.009589250000000327
wine,178,13,142,0,mutual_info,8,0.23250035963109816,-1.0,-1,-1,2.0,1,0.009589250000000327
wine,178,13,142,0,mutual_info,9,0.5282441397919544,-1.0,-1,-1,2.0,1,0.009589250000000327
wine,178,13,142,0,mutual_info,10,0.367821417079935,-1.0,-1,-1,2.0,1,0.009589250000000327
wine,178,13,142,0,mutual_info,11,0.5414780060262909,-1.0,-1,-1,2.0,1,0.009589250000000327
